Region,Country,Year,Ice Cream Value,Ice Cream Volume,Ice Cream Price
Asia Pacific,Azerbaijan,2000,0.0,13334.5537,0.0
Asia Pacific,Azerbaijan,2001,0.0,13798.548439999999,0.0
Asia Pacific,Azerbaijan,2002,0.0,14340.58168,0.0
Asia Pacific,Azerbaijan,2003,0.0,15006.16547,0.0
Asia Pacific,Azerbaijan,2004,0.0,16047.48967,0.0
Asia Pacific,Azerbaijan,2005,0.0,16893.2647,0.0
Asia Pacific,Azerbaijan,2006,0.0,17893.93205,0.0
Asia Pacific,Azerbaijan,2007,0.0,19478.77606,0.0
Asia Pacific,Azerbaijan,2008,0.0,20241.60428,0.0
Asia Pacific,Azerbaijan,2009,0.0,20779.35481,0.0
Asia Pacific,Azerbaijan,2010,0.0,21016.28937,0.0
Asia Pacific,Azerbaijan,2011,29181076.150000002,21442.71897,1360.8850720296502
Asia Pacific,Azerbaijan,2012,32206746.099999998,22242.69925,1447.9693196409153
Asia Pacific,Azerbaijan,2013,34311205.940000005,23292.05671,1473.0861412195147
Asia Pacific,Azerbaijan,2014,35390099.82,24805.161129999997,1426.7232385440266
Asia Pacific,Azerbaijan,2015,35519470.31,25817.41804,1375.7948318057292
Asia Pacific,Azerbaijan,2016,36000471.57,26756.104959999997,1345.5049463971009
Asia Pacific,Azerbaijan,2017,36868675.839999996,27743.52303,1328.911104769667
Asia Pacific,Azerbaijan,2018,38055278.07,28852.8046,1318.9455443787258
Asia Pacific,Azerbaijan,2019,39503664.93,30145.00512,1310.454742759055
Asia Pacific,China,2000,326399348.70000005,1156620.747,282.20084201896134
Asia Pacific,China,2001,349722040.1,1250799.561,279.5987870513811
Asia Pacific,China,2002,378166837.0,1349642.697,280.19774258816295
Asia Pacific,China,2003,397826304.90000004,1456487.2270000002,273.14095003731876
Asia Pacific,China,2004,420346626.2,1611014.509,260.9204472409875
Asia Pacific,China,2005,447216532.2,1754241.075,254.9344776914427
Asia Pacific,China,2006,478186869.5,1917505.841,249.3796155794865
Asia Pacific,China,2007,499779349.5,2034154.399,245.69391081900858
Asia Pacific,China,2008,513023148.29999995,2136728.7150000003,240.09746520395308
Asia Pacific,China,2009,508867036.7,2105541.702,241.67986614401426
Asia Pacific,China,2010,526092090.90000004,2202080.369,238.90685294965274
Asia Pacific,China,2011,547798168.0,2307703.4749999996,237.3780574213505
Asia Pacific,China,2012,549783350.1,2246740.213,244.70267942811776
Asia Pacific,China,2013,561709584.5,2269596.406,247.49315914276258
Asia Pacific,China,2014,586705683.2,2326098.048,252.22740877344137
Asia Pacific,China,2015,607345181.4,2376110.1829999997,255.60480559583547
Asia Pacific,China,2016,627425318.1,2420433.17,259.220261016337
Asia Pacific,China,2017,649548356.6,2468486.8740000003,263.136240845168
Asia Pacific,China,2018,672789839.1,2516706.2449999996,267.32950674583003
Asia Pacific,China,2019,694924230.7,2555051.125,271.9805580015547
Asia Pacific,"Hong Kong, China",2000,10938219.82,6954.413826999999,1572.8456908234548
Asia Pacific,"Hong Kong, China",2001,10951547.05,6896.404121,1588.0083095263844
Asia Pacific,"Hong Kong, China",2002,11419873.08,6931.408280000001,1647.5545255285408
Asia Pacific,"Hong Kong, China",2003,12128079.549999999,7124.449916,1702.3180305840751
Asia Pacific,"Hong Kong, China",2004,12662763.91,7382.796034,1715.1718470460455
Asia Pacific,"Hong Kong, China",2005,12991303.120000001,7619.667045,1704.9699210315036
Asia Pacific,"Hong Kong, China",2006,13271216.759999998,7891.634412,1681.6816475709795
Asia Pacific,"Hong Kong, China",2007,13752838.58,8230.859488,1670.8872992001197
Asia Pacific,"Hong Kong, China",2008,14034439.23,8390.082306,1672.7415439016077
Asia Pacific,"Hong Kong, China",2009,13111173.700000001,8275.108033,1584.41118203103
Asia Pacific,"Hong Kong, China",2010,13213371.200000001,8386.738763000001,1575.5076643490772
Asia Pacific,"Hong Kong, China",2011,12949436.33,8527.428314,1518.5629070302612
Asia Pacific,"Hong Kong, China",2012,12887182.97,8724.715382999999,1477.0892120000292
Asia Pacific,"Hong Kong, China",2013,12897689.58,8894.910897000002,1450.007732438334
Asia Pacific,"Hong Kong, China",2014,13145734.43,9030.800506,1455.6555004471716
Asia Pacific,"Hong Kong, China",2015,13326549.05,9129.2457,1459.764529067281
Asia Pacific,"Hong Kong, China",2016,13476708.65,9204.151342,1464.1989412433545
Asia Pacific,"Hong Kong, China",2017,13651496.48,9296.82412,1468.404296326518
Asia Pacific,"Hong Kong, China",2018,13817170.65,9383.250837,1472.5355732275839
Asia Pacific,"Hong Kong, China",2019,13972841.170000002,9462.376812,1476.6735089517804
Asia Pacific,India,2000,17619635.830000002,27816.348090000003,633.4273562076351
Asia Pacific,India,2001,19573807.29,31096.24458,629.4588801436549
Asia Pacific,India,2002,21554500.81,34690.34289,621.3400910549489
Asia Pacific,India,2003,23570033.369999997,38455.48949,612.9172631160804
Asia Pacific,India,2004,25909218.91,42568.21118,608.6518129794713
Asia Pacific,India,2005,28063290.29,46745.52619,600.3417348632481
Asia Pacific,India,2006,31852577.880000003,55724.606190000006,571.6070522130683
Asia Pacific,India,2007,36657386.64,67632.53272,542.0081899307585
Asia Pacific,India,2008,41182924.300000004,80523.45162,511.4401267142304
Asia Pacific,India,2009,44558052.370000005,92764.88071,480.3332039987917
Asia Pacific,India,2010,47346259.5,106579.1911,444.23549298264476
Asia Pacific,India,2011,52970488.70999999,120990.9687,437.80531124882214
Asia Pacific,India,2012,58981935.339999996,135570.5804,435.06441564220074
Asia Pacific,India,2013,63637889.050000004,150655.13390000002,422.4077029611269
Asia Pacific,India,2014,67439963.76,164599.51559999998,409.72152022542167
Asia Pacific,India,2015,72882995.25,180757.9819,403.2076176327348
Asia Pacific,India,2016,78919204.29,199172.548,396.2353501146152
Asia Pacific,India,2017,85562302.52,219497.9945,389.8090400092471
Asia Pacific,India,2018,92834282.92999999,241419.9461,384.53443648581776
Asia Pacific,India,2019,100475634.0,265314.06779999996,378.7045098405446
Asia Pacific,Indonesia,2000,15897909.139999999,31438.42984,505.6839422614116
Asia Pacific,Indonesia,2001,17628950.85,33205.94464,530.8974354177566
Asia Pacific,Indonesia,2002,19023420.84,34985.06809,543.7582911390011
Asia Pacific,Indonesia,2003,20310309.53,36771.02804,552.3454364100504
Asia Pacific,Indonesia,2004,21498507.4,38592.23214,557.0682546168991
Asia Pacific,Indonesia,2005,21827107.3,40539.71398,538.4129574956612
Asia Pacific,Indonesia,2006,21416937.7,42656.221979999995,502.0823857781322
Asia Pacific,Indonesia,2007,22737059.17,45609.01056,498.5212108490871
Asia Pacific,Indonesia,2008,22132069.98,45401.54483,487.4739408729498
Asia Pacific,Indonesia,2009,22435306.220000003,44734.27104,501.52390322710403
Asia Pacific,Indonesia,2010,23151266.240000002,44838.2713,516.3282519324067
Asia Pacific,Indonesia,2011,25325585.259999998,48079.84995,526.7401060181552
Asia Pacific,Indonesia,2012,28420542.130000003,52103.66938,545.4614323364572
Asia Pacific,Indonesia,2013,31601918.91,57391.88865,550.6338901429409
Asia Pacific,Indonesia,2014,35104960.24,62959.3074,557.581741123156
Asia Pacific,Indonesia,2015,39157897.92,69360.61195,564.5552543312011
Asia Pacific,Indonesia,2016,43783492.28,76606.77613999999,571.5355022900982
Asia Pacific,Indonesia,2017,48786730.31,84238.32004,579.1512732784076
Asia Pacific,Indonesia,2018,54201151.35999999,92402.07187999999,586.5793943493986
Asia Pacific,Indonesia,2019,60140606.019999996,101227.3838,594.114001195791
Asia Pacific,Japan,2000,485638420.59999996,561051.1489,865.5867144237122
Asia Pacific,Japan,2001,474063978.50000006,549026.0332000001,863.4635697271341
Asia Pacific,Japan,2002,463516331.6,535839.8023,865.0278116900538
Asia Pacific,Japan,2003,452055406.4,524612.2046,861.6944143430245
Asia Pacific,Japan,2004,487891264.4,556674.2470000001,876.4394383776836
Asia Pacific,Japan,2005,484694701.99999994,540325.3001,897.0423963310541
Asia Pacific,Japan,2006,484175107.5,532051.7936,910.0149897511783
Asia Pacific,Japan,2007,500540844.9,539085.4478999999,928.5000121035545
Asia Pacific,Japan,2008,522576214.3,547297.2885,954.8306291307343
Asia Pacific,Japan,2009,520719936.79999995,541568.2283,961.5038504650772
Asia Pacific,Japan,2010,544266065.1,564586.7256,964.0079024557215
Asia Pacific,Japan,2011,544109427.7,556650.3386,977.4707567203841
Asia Pacific,Japan,2012,555278294.6,567418.3968,978.6046729036898
Asia Pacific,Japan,2013,572781805.4,580949.7113999999,985.9404250665406
Asia Pacific,Japan,2014,580404253.6,586517.873,989.5764141530261
Asia Pacific,Japan,2015,588924272.6,590265.5965,997.7275926160132
Asia Pacific,Japan,2016,595615868.4,593224.6097,1004.0309499317792
Asia Pacific,Japan,2017,600848132.1999999,595420.9357,1009.1148902811411
Asia Pacific,Japan,2018,605386515.4,597263.1497,1013.6009825887975
Asia Pacific,Japan,2019,609672536.4,599034.448,1017.7587256217358
Asia Pacific,Kazakhstan,2000,0.0,25916.65798,0.0
Asia Pacific,Kazakhstan,2001,0.0,26059.46299,0.0
Asia Pacific,Kazakhstan,2002,0.0,26164.98375,0.0
Asia Pacific,Kazakhstan,2003,0.0,26271.73663,0.0
Asia Pacific,Kazakhstan,2004,23986628.7,26455.202660000003,906.6885258175527
Asia Pacific,Kazakhstan,2005,24251118.48,26619.17881,911.0393169187325
Asia Pacific,Kazakhstan,2006,24631059.57,26704.48415,922.3566885488781
Asia Pacific,Kazakhstan,2007,24451051.35,26820.807500000003,911.6448619229678
Asia Pacific,Kazakhstan,2008,22886042.919999998,26969.65925,848.5848007145288
Asia Pacific,Kazakhstan,2009,23632389.14,25432.169710000002,929.232126455482
Asia Pacific,Kazakhstan,2010,25018201.55,26664.03664,938.275096444662
