Region,Country,Year,GDP,Population,Refrigerator Possession
Asia Pacific,Azerbaijan,1977,0.0,5828300.0,58.294193
Asia Pacific,Azerbaijan,1978,0.0,5924000.0,62.21572
Asia Pacific,Azerbaijan,1979,0.0,6028300.0,65.496627
Asia Pacific,Azerbaijan,1980,0.0,6114300.0,68.241566
Asia Pacific,Azerbaijan,1981,0.0,6206700.0,70.538093
Asia Pacific,Azerbaijan,1982,0.0,6308800.0,72.45946
Asia Pacific,Azerbaijan,1983,0.0,6406300.0,74.066953
Asia Pacific,Azerbaijan,1984,0.0,6513300.0,75.411846
Asia Pacific,Azerbaijan,1985,0.0,6622400.0,76.537038
Asia Pacific,Azerbaijan,1986,0.0,6717900.0,77.478419
Asia Pacific,Azerbaijan,1987,0.0,6822700.0,78.266016
Asia Pacific,Azerbaijan,1988,0.0,6928000.0,78.924952
Asia Pacific,Azerbaijan,1989,0.0,7021200.0,79.476244
Asia Pacific,Azerbaijan,1990,29702980620.0,7131900.0,79.937477
Asia Pacific,Azerbaijan,1991,29495059760.0,7218500.0,81.0
Asia Pacific,Azerbaijan,1992,22829176250.0,7324100.0,79.0
Asia Pacific,Azerbaijan,1993,17555556500.0,7440000.0,76.48862
Asia Pacific,Azerbaijan,1994,14105055090.0,7549600.0,71.72258
Asia Pacific,Azerbaijan,1995,12438367210.0,7643500.0,65.0
Asia Pacific,Azerbaijan,1996,12594473440.0,7726200.0,67.0
Asia Pacific,Azerbaijan,1997,13325722030.0,7799800.0,82.0
Asia Pacific,Azerbaijan,1998,14653788020.0,7876700.0,85.0
Asia Pacific,Azerbaijan,1999,15737632210.0,7953400.0,88.0
Asia Pacific,Azerbaijan,2000,17483617760.0,8032800.0,89.0
Asia Pacific,Azerbaijan,2001,19214896490.0,8114300.0,94.0
Asia Pacific,Azerbaijan,2002,21027490780.0,8191400.0,94.8
Asia Pacific,Azerbaijan,2003,23174610380.0,8269200.000000001,95.2
Asia Pacific,Azerbaijan,2004,25319401500.0,8349100.0,95.55
Asia Pacific,Azerbaijan,2005,32398764530.0,8447400.0,95.79
Asia Pacific,Azerbaijan,2006,43566166710.0,8553100.0,96.04
Asia Pacific,Azerbaijan,2007,54658281280.0,8666100.0,96.32
Asia Pacific,Azerbaijan,2008,60447406270.0,8779900.0,96.52
Asia Pacific,Azerbaijan,2009,66111310650.0,8922400.0,96.76
Asia Pacific,Azerbaijan,2010,69166538440.0,8997600.0,96.91
Asia Pacific,Azerbaijan,2011,68050160430.0,9111100.0,97.13
Asia Pacific,Azerbaijan,2012,69522085400.0,9235100.0,97.26
Asia Pacific,Azerbaijan,2013,73556452010.0,9362011.681,97.43
Asia Pacific,Azerbaijan,2014,77204852030.0,9486023.248,97.53
Asia Pacific,Azerbaijan,2015,80763995710.0,9607373.564,97.64
Asia Pacific,Azerbaijan,2016,83572159840.0,9726035.674999999,97.75
Asia Pacific,Azerbaijan,2017,86264854830.0,9841579.561,97.84
Asia Pacific,Azerbaijan,2018,89705097240.0,9953052.507000001,97.91
Asia Pacific,Azerbaijan,2019,93497828750.0,10059190.17,97.97
Asia Pacific,Azerbaijan,2020,97338719560.0,10158778.889999999,98.0
Asia Pacific,Azerbaijan,2021,101337394200.0,10251152.57,98.0288
Asia Pacific,Azerbaijan,2022,105500334300.0,10336305.899999999,98.051104
Asia Pacific,Azerbaijan,2023,109834288000.0,10414759.42,98.06799232
Asia Pacific,Azerbaijan,2024,114346280600.0,10487359.0,98.08063171
Asia Pacific,Azerbaijan,2025,119043625800.0,10555071.190000001,98.08948224
Asia Pacific,Azerbaijan,2026,123933938000.0,10618450.47,98.09664082
Asia Pacific,Azerbaijan,2027,129025144100.0,10677726.26,98.10206809
